Movement1 Class
x	y	z	tick	deltaG
Movement1 Class
x	y	z	tick	deltaG
0	-0.0859375	1.00390625	63428376135448	0.00354995689250037
0	-0.08984375	1	63428376135877	7.5987590903992E-06
0	-0.0859375	1.00390625	63428376136009	0.00744047518696833
0	-0.08984375	1	63428376136121	0.00777325536373219
0	-0.08984375	1.0078125	63428376136366	0.00742432073209165
-0.00390625	-0.0859375	1.01171875	63428376136567	0.00283670626456534
0	-0.08984375	1.00390625	63428376136681	0.000363268422531204
0.00390625	-0.0859375	0.99609375	63428376136803	0.00459089749276309
0	-0.0859375	1.0078125	63428376136939	0.00423025179184933
0	-0.08984375	1.00390625	63428376137156	0.00461437500351591
0	-0.08984375	1	63428376137359	0.00744957050546713
0	-0.09375	1	63428376137494	0.0148694151043576
-0.00390625	-0.09375	1.0078125	63428376137749	0.00777163476280052
0	-0.09375	1.01953125	63428376137921	0.019067871539463
0	-0.09375	1.01171875	63428376138204	0.00813461691827566
0	-0.08984375	1.01171875	63428376138488	0.00777407003186115
0	-0.08984375	1.00390625	63428376138699	0.0042450946241801
0	-0.0859375	0.99609375	63428376138832	0.0127388678319242
0	-0.0859375	1	63428376138956	0.00424021311653178
0	-0.09375	0.99609375	63428376139229	0.00319004652421784
0.00390625	-0.09375	1	63428376139435	0.00318528130332707
0	-0.08984375	1	63428376139704	0
0.0078125	-0.08984375	0.99609375	63428376140073	0.00740996226438728
0.01171875	-0.0859375	1	63428376140282	0.000273593639017689
0.0078125	-0.0859375	1	63428376140681	0.00809299891742299
0.0078125	-0.08984375	1.00390625	63428376140809	0.00742080389899513
0.00390625	-0.08984375	1.00390625	63428376140946	7.56942753810108E-06
0	-0.08984375	1.0078125	63428376141077	0.0120076221672594
0.00390625	-0.08984375	1	63428376141293	0.00743442889577572
0	-0.0859375	1	63428376141517	0.00423264368899368
-0.00390625	-0.08984375	1.01171875	63428376141913	0.0116797908826101
0	-0.08984375	1	63428376142193	0.000357079531577931
0.00390625	-0.08984375	0.9921875	63428376142325	0.0159165276562216
0	-0.08984375	1.00390625	63428376142438	0.0159140436160632
0	-0.08984375	1	63428376142550	0.0120252569055919
0	-0.08984375	1	63428376142726	0.0116722794467155
0.00390625	-0.09375	1.00390625	63428376142840	0.000363268422531204
0	-0.08984375	1.0078125	63428376142973	0.0120152531047617
0	-0.08203125	1.00390625	63428376143151	0.00356631130908447
-0.00390625	-0.08203125	1.00390625	63428376143264	0.0067639322682429
-0.00390625	-0.08203125	1.00390625	63428376143377	0.00286720645317429
0	-0.0859375	1.00390625	63428376143642	0.00354995689250037
0	-0.0859375	1.01171875	63428376143853	0.015194212690421
0	-0.09375	0.99609375	63428376143990	0.00325845658687762
0.00390625	-0.09375	0.99609375	63428376144202	0.00321282598735695
0	-0.08984375	0.99609375	63428376144339	0.00781143565087028
-0.0078125	-0.08984375	1	63428376144614	0.00386781472353959
