Movement1 Class
x	y	z	tick	deltaG
0.07421875	-0.57421875	0.7109375	63428298425890	0.108717737163186
-0.34375	-0.60546875	0.38671875	63428298426393	0.265993723815075
-0.375	-0.52734375	-0.14453125	63428298426894	0.315111665563357
-0.171875	-0.47265625	-0.47265625	63428298427396	0.122948566169859
-0.11328125	-0.03125	-0.6640625	63428298427913	0.23013422793657
-0.12109375	0.453125	-0.4375	63428298428415	0.338961167416871
-0.0703125	0.69921875	-0.21875	63428298428918	0.24798313904524
-0.0859375	0.7421875	-0.42578125	63428298429420	0.128167253561284
-0.12890625	0.04296875	-0.51171875	63428298429926	0.49578813923923
-0.12890625	-0.3125	0.15625	63428298430427	0.664553182132135
-0.15234375	-0.2734375	0.55078125	63428298430929	0.421067606421772
-0.48046875	-0.32421875	0.6484375	63428298431429	0.191457187623188
-0.64453125	-0.50390625	0.4609375	63428298431928	0.126051256733198
-0.34375	-0.484375	0.68359375	63428298432430	0.137917930789785
-0.2109375	-0.55078125	0.7421875	63428298432932	0.0940137795952853
-0.10546875	-0.55078125	0.6796875	63428298433434	0.168362706349216
0.046875	-0.83984375	0.640625	63428298433938	0.0538439628533625
0.015625	-0.87890625	0.3125	63428298434439	0.0983358248053001
1.29296875	-0.33984375	0.20703125	63428298435101	0.43232884212427
0.31640625	-0.3671875	0.23828125	63428298435516	0.359601563030776
0.51953125	-0.5390625	0.25	63428298436015	0.127575153890154
0.60546875	-0.66015625	0.21484375	63428298436526	0.12473680767125
0.65625	-0.66796875	0.15234375	63428298437028	0.285684562757334
0.6875	-0.8125	0.92578125	63428298437638	0.720451955630843
0.52734375	-0.9453125	0.7734375	63428298438677	0.0802516104615008
0.453125	-1.01171875	0.62890625	63428298439236	0.136104849180107
0.58203125	-1.1171875	1.07421875	63428298439786	0.244908180587993
0.3046875	-0.90234375	0.90234375	63428298440286	0.0986555404751064
0.234375	-0.9140625	0.7578125	63428298440786	0.200375412518192
0.09765625	-0.9140625	0.66015625	63428298441236	0.278884394329113
-0.00390625	-0.91015625	0.58203125	63428298441738	0.330280467312093
-0.08203125	-0.8984375	0.56640625	63428298442303	0.345392817554905
